project_name,filename,smell_name,occurrence_id,line,new_commit,new_commit_message,new_commit_date,new_change_type,first_commit_date,removing_number_commits,number_commits,release_hash,release_date,relative_path,new_feature,bug_fixing,enhancement,refactoring,first_commit_goal
BachiLi/redner,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/BachiLiredner_analysis/3b7c5f44add6f19a3f3d0f8914b1140f1c1600d6/input/modified/pyredner_tensorflow/load_obj.py,tensor_array_not_used,1,186,9fc1f70a215157ca0a6c48d172f298668384e124,fix tensorflow load obj,2020-04-17 01:18:20+00:00,MODIFY,2018-11-10T22:32:27Z,838.0,871.0,,,pyredner_tensorflow/load_obj.py,0.0,1.0,0.0,0.0,bug_fixing
RTIInternational/gobbli,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/RTIInternationalgobbli_analysis/96d2458c7ba1dd174a340e5719b89031a4ada0d8/input/modified/gobbli/interactive/evaluate.py,columns_and_datatype_not_explicitly_set,1,231,b93d184c610c3ae779607679501b4b1dafd30b28,Improve example prediction formatting in evaluate app,2020-01-03 22:10:32+00:00,MODIFY,2019-08-09T15:55:38Z,78.0,230.0,b22665b49153b679c820d95fb3e3dbdacdca9e6e,2020-05-26T20:18:24Z,gobbli/interactive/evaluate.py,0.0,0.0,1.0,1.0,enhancement
RTIInternational/gobbli,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/RTIInternationalgobbli_analysis/3c21e21f2cf2a7b3deb5dee31c2b9bb602e4812b/input/added/gobbli/interactive/explain.py,columns_and_datatype_not_explicitly_set,1,103,59768a01da9c559380cdf1a5934b05e122b71677,"Remove alibi-based Anchor explainer

Can't get this returning results in a reasonable timeframe.",2020-02-25 16:13:51+00:00,MODIFY,2019-08-09T15:55:38Z,131.0,230.0,b22665b49153b679c820d95fb3e3dbdacdca9e6e,2020-05-26T20:18:24Z,gobbli/interactive/explain.py,0.0,0.0,1.0,1.0,enhancement
RTIInternational/gobbli,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/RTIInternationalgobbli_analysis/5e535350c9f864cb76587de71d1f38a704b40560/input/modified/gobbli/model/majority.py,columns_and_datatype_not_explicitly_set,1,57,9f5a5ddb8a6fa71701f800d0eb5dc42406879149,Add multilabel support to majority classifier,2020-03-17 17:47:51+00:00,MODIFY,2019-08-09T15:55:38Z,176.0,230.0,b22665b49153b679c820d95fb3e3dbdacdca9e6e,2020-05-26T20:18:24Z,gobbli/model/majority.py,1.0,0.0,1.0,0.0,new_feature
RTIInternational/gobbli,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/RTIInternationalgobbli_analysis/115bc24e7f7eeef600e507aefb6ea552ae817351/input/modified/gobbli/model/sklearn/model.py,columns_and_datatype_not_explicitly_set,1,242,16e1945af5aba3d2294349e8456ec88da2cc0f77,Add multilabel support for FastText,2020-03-26 13:31:02+00:00,MODIFY,2019-08-09T15:55:38Z,181.0,230.0,b22665b49153b679c820d95fb3e3dbdacdca9e6e,2020-05-26T20:18:24Z,gobbli/model/sklearn/model.py,1.0,0.0,1.0,0.0,new_feature
RTIInternational/gobbli,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/RTIInternationalgobbli_analysis/51d924a147854018ce42a040a7886dac6bddbada/input/added/gobbli/test/inspect/test_evaluate.py,columns_and_datatype_not_explicitly_set,1,11,9441624c8af8a7c6fda918b600470c4a1a064970,Fix/add test for multilabel classification evaluation,2020-03-31 13:59:41+00:00,MODIFY,2019-08-09T15:55:38Z,158.0,230.0,b22665b49153b679c820d95fb3e3dbdacdca9e6e,2020-05-26T20:18:24Z,gobbli/test/inspect/test_evaluate.py,1.0,1.0,0.0,0.0,new_feature
HazyResearch/fonduer,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/HazyResearchfonduer_analysis/cd0f1b5b181350cdc94f2943e54e84c68dba3088/input/modified/src/fonduer/parser/visual_linker.py,columns_and_datatype_not_explicitly_set,1,360,b6bd723cedeae747f90fbe732a350ad6636f1af6,Remove the dependency on Pandas and VisualLinker._display_links (#321),2019-09-28 05:07:12+00:00,MODIFY,2018-02-02T22:03:13Z,1034.0,1279.0,,,src/fonduer/parser/visual_linker.py,0.0,0.0,1.0,1.0,enhancement
HazyResearch/fonduer,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/HazyResearchfonduer_analysis/c692966aa6c5f67174ee87ffeb5199f2e2ccdf16/input/modified/src/fonduer/parser/visual_linker.py,columns_and_datatype_not_explicitly_set,1,336,b56cedb450ef3e6444c1d0608df5e28d8d90db75,Make all the methods but parse_visual and is_linkable private,2019-07-26 00:48:10+00:00,MODIFY,2018-02-02T22:03:13Z,960.0,1279.0,,,src/fonduer/parser/visual_linker.py,0.0,0.0,0.0,0.0,other
XanaduAI/pennylane,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/XanaduAIpennylane_analysis/f3337dee55f304d1822c460156b4428a47e8fa47/input/modified/pennylane/qnn/torch.py,pytorch_call_method_misused,1,354,3069b509514652d244f68adc55dbbea2dcbd1ef6,"Use parameter broadcasting in `KerasLayer` and `TorchLayer` (#4131)

* Use parameter broadcasting for keras

* Use parameter broadcasting for torch

* Fix legacy tests

* support more than one broadcast dim

* some docs

* Remove split_batches kwarg

* Remove broadcasting logic

* pylint

* changelog and docs

* remove split batches docs

---------

Co-authored-by: Romain Moyard <rmoyard@gmail.com>",2023-05-30 16:08:20+00:00,MODIFY,2018-04-17T16:45:42Z,3348.0,3348.0,18603e2f464a5ef9206d90173b439abd70d0e505,2023-06-26T18:04:21Z,pennylane/qnn/torch.py,0.0,1.0,1.0,1.0,bug_fixing
SeldonIO/alibi,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/SeldonIOalibi_analysis/00e2fea36546c014c8002d3bd2febfde0dd740b7/input/modified/alibi/datasets.py,columns_and_datatype_not_explicitly_set,1,139,224929b90c1fd9ed6fda5cdc3c195cfae1975592,"Revamp of dataset fetching functionality (#114)

* Initial revamp of dataset fetching functionality

* Add missing util module

* Add working deprecation warnings

* Update imagenet example

* Update anchor tabular example

* Add target names to fetched datasets

* Update anchor text example

* Get class names from the bunch object

* Initial get_category_map utility function

* Add simple test for get_category_map

* Support for numpy arrays with cat var columns

* Replace asserts with more informative exceptions

* Warnings module not always needed

* Prefix utility function with gen for semantics, add link to utility function in income example notebook

* Add changes to changelog

* Make gen_category_map more prominent in docs",2019-07-24 13:29:40+00:00,MODIFY,2019-02-26T10:10:56Z,76.0,165.0,a8efe1bdd8164bef28c3c22687caf4231ce587a5,2021-03-31T13:33:15Z,alibi/datasets.py,1.0,1.0,1.0,1.0,new_feature
SeldonIO/alibi,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/SeldonIOalibi_analysis/58d9796dea4648a9df17a64582dcc8c0f0d3e9d9/input/modified/alibi/explainers/integrated_gradients.py,memory_not_freed,1,671,d9be65fb0a87c8b8d2cf0da5a8f7ec4fbdd7d49a,"Remove multi-layer support (#374)

* Remove multi-layer support

* Remove commented out sections",2021-03-26 14:21:17+00:00,MODIFY,2019-02-26T10:10:56Z,246.0,246.0,a8efe1bdd8164bef28c3c22687caf4231ce587a5,2021-03-31T13:33:15Z,alibi/explainers/integrated_gradients.py,0.0,0.0,1.0,1.0,enhancement
SeldonIO/alibi,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/SeldonIOalibi_analysis/6a9d3bdf0c445b9b448107b7211f6d4e380e145b/input/modified/alibi/explainers/integrated_gradients.py,memory_not_freed,1,571,58d9796dea4648a9df17a64582dcc8c0f0d3e9d9,"Intgrads subclassed models (#362)

* multiple inputs upgrade

* fixed compute convergence delta for multiple inputs

* convergence delta fix

* fixed compute convergence delta for multiple inputs 2

* added test for multiple inputs; typing fixed

* removed print statements

* paths_b dtype casting fix

* model inputs as list fix

* multiple layers added

* multiple layers fixed

* examples updated for list attributions

* code cleaning

* cleared old outputs from notebooks

* comment addressed. Changed regression ds to 'from_generator'

* baselines types fixed. Added baselines to tests params

* support for single input subclassed models

* get rid of None in shape

* inferring subclassed models by checking output_shape

* removing is_subclassed flag

* separate functions for list and tensors

* infer subclassed with model.inputs is None

* Add self

* compute for first layer when there's no input

* added docstrigs, changed is_subclassed to _has_inputs

* flake8 fixes

* TODO multi inputs subclassed models

* handling of list of tensors inputs in subclassed models

* infer input dtypes ate explain time improved

* fixing types errors, docstrings updated

* removed redundant validation code in _compute_convergence_delta

* removed redundant validation code in _compute_convergence_delta

* Update type hints

Co-authored-by: Janis Klaise <jk@seldon.io>",2021-03-26 12:54:45+00:00,MODIFY,2019-02-26T10:10:56Z,245.0,245.0,a8efe1bdd8164bef28c3c22687caf4231ce587a5,2021-03-31T13:33:15Z,alibi/explainers/integrated_gradients.py,1.0,1.0,1.0,1.0,enhancement
CLUEbenchmark/CLUE,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/CLUEbenchmarkCLUE_analysis/f4f2fe739ffcca8dc102d23032ee979404eab224/input/added/baselines/models_pytorch/mrc_pytorch/preprocess/CHID_preprocess.py,in_place_apis_misused,1,312,99243c04f3e460e7889455b791b7d4d48fc94e28,CHID数据IO改为Json,2019-11-29 03:14:04+00:00,MODIFY,2019-11-22T08:25:02Z,94.0,457.0,,,baselines/models_pytorch/mrc_pytorch/preprocess/CHID_preprocess.py,0.0,0.0,0.0,0.0,other
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/230e55932c90c8e34c21a12f909b88561807d71c/input/modified/onmt/Loss.py,gradients_not_cleared_before_backward_propagation,1,181,929af7f79be7a5a7fc6dc372655ea6be9e167a24,.,2017-08-20 19:30:56+00:00,MODIFY,2017-02-22T19:01:50Z,592.0,2471.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,onmt/Loss.py,0.0,0.0,0.0,0.0,other
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/a08f22965405c6832e7f37b52ef09be62a303531/input/modified/onmt/Trainer.py,gradients_not_cleared_before_backward_propagation,1,63,b1da8d1c93462c024aa8a09191c94973394f09c9,LossCompute: turn to use the new *LossCompute class.,2017-09-20 07:46:21+00:00,MODIFY,2017-02-22T19:01:50Z,880.0,2471.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,onmt/Trainer.py,1.0,0.0,0.0,0.0,new_feature
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/93930abf795db0300aebab280154acaf0f6162ae/input/modified/onmt/trainer.py,gradients_not_cleared_before_backward_propagation,1,279,a850f4a77146f79da97a151281e474ee0cd70d1b,"Reintroduce partial backward if max_generator_batches > 0 (#1254)

The removal changed the memory requirements of the training which
could possibly break existing user configurations.

This also reintroduces the unwanted side-effect that the loss
computation initiates the backward pass unless max_generator_batches
is 0.",2019-02-01 17:01:24+00:00,MODIFY,2017-02-22T19:01:50Z,2263.0,2471.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,onmt/trainer.py,1.0,0.0,1.0,1.0,new_feature
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/1c8c5aff9d8fb7d7190eb3a2c0f7a72562db79fc/input/modified/onmt/utils/loss.py,gradients_not_cleared_before_backward_propagation,1,195,01f0c7075c6c384913fdc05416ac42715c15d60a,Refac loss compute,2022-10-18 16:11:19+00:00,MODIFY,2017-02-22T19:01:50Z,2615.0,2615.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,onmt/utils/loss.py,0.0,0.0,0.0,0.0,other
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/545bcec3036090d67475ec65789420208cd3c1f1/input/modified/onmt/utils/loss.py,gradients_not_cleared_before_backward_propagation,1,171,f1aadee66689491a6993070955abe7987b9818fc,Unify loss interface and do not force backpropagation (#1204),2019-01-23 16:30:17+00:00,MODIFY,2017-02-22T19:01:50Z,2236.0,2471.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,onmt/utils/loss.py,0.0,0.0,0.0,0.0,other
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/f9ddb2f66e279957a6ac12cadd7701bca92372b9/input/modified/train.py,gradients_not_cleared_before_backward_propagation,1,264,acc79ba90653e0ac717bf7c5afbf1b4fa180d21e,"renamed attention type params, added size assertions in attention",2017-07-05 22:36:12+00:00,MODIFY,2017-02-22T19:01:50Z,438.0,2471.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,train.py,1.0,0.0,0.0,1.0,refactoring
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/db4579f85283571a2e8874132b432d2097f45418/input/modified/train.py,gradients_not_cleared_before_backward_propagation,1,144,7dc937dc8b546721907b98351e329737448cae70,snake_case names defined in train.py,2017-09-05 12:24:11+00:00,MODIFY,2017-02-22T19:01:50Z,724.0,2471.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,train.py,0.0,0.0,0.0,0.0,other
OpenNMT/OpenNMT-py,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/OpenNMTOpenNMT-py_analysis/21e4cd78dfb27388c91decfa1b59fe18e5906760/input/modified/train.py,gradients_not_cleared_before_backward_propagation,1,147,88482a2dadf4e24ae269bc9b19b0a9e513daf62a,train.py: abstract the train_model logic with Trainer methods.,2017-09-19 15:56:46+00:00,MODIFY,2017-02-22T19:01:50Z,865.0,2471.0,0ecec8b4c16fdec7d8ce2646a0ea47ab6535d308,2018-04-13T15:48:54Z,train.py,0.0,0.0,0.0,0.0,other
IBM/lale,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/IBMlale_analysis/693a6d0115aedf97a55cfb6695293a24b2eae66f/input/modified/lale/datasets/data_schemas.py,columns_and_datatype_not_explicitly_set,1,354,38d6bea152a04eda3f1cfcfef9bff1c35eaec04e,The disparate_impact scorer now also works for numpy ndarrays with categoricals. Added accuracy_and_disparate_impact scorer. (#496),2020-10-19 09:17:04+00:00,MODIFY,2019-08-06T14:39:27Z,570.0,570.0,66903f3a28a6099ef8e6d9ece4212cc432ec76cc,2021-10-12T09:49:04Z,lale/datasets/data_schemas.py,1.0,0.0,0.0,0.0,new_feature
IBM/lale,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/IBMlale_analysis/ae4defb05d943ee0913c63bd49adeb5c97e558b4/input/modified/lale/datasets/data_schemas.py,columns_and_datatype_not_explicitly_set,1,328,3ee11fea7076b8828cffaf92b3b9a6ba8e326875,"Optimization of imports and faster access to caller frame in operator_wrapper (#1082)

* Move import outside of function definitions
* Faster access to caller frame in operator_wrapper
* Remove extra schema validation checks
* Reduce lookups in modules
* Avoid unnecessary nested function definition",2022-04-26 16:47:08+00:00,MODIFY,2019-08-06T14:39:27Z,1184.0,1184.0,66903f3a28a6099ef8e6d9ece4212cc432ec76cc,2021-10-12T09:49:04Z,lale/datasets/data_schemas.py,0.0,0.0,1.0,1.0,enhancement
IBM/lale,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/IBMlale_analysis/15d8bf557b611a7210b19d62c51e9a26bb23bc0b/input/modified/lale/datasets/openml/openml_datasets.py,columns_and_datatype_not_explicitly_set,1,683,2b4c300b3f3c6d42d17da3a2c68d6f6e8e350fd1,"Add support for scikit-learn 1.4

Signed-off-by: Avi Shinnar <shinnar@us.ibm.com>",2024-02-12 23:33:04+00:00,MODIFY,2019-08-06T14:39:27Z,1467.0,1467.0,66903f3a28a6099ef8e6d9ece4212cc432ec76cc,2021-10-12T09:49:04Z,lale/datasets/openml/openml_datasets.py,1.0,0.0,1.0,0.0,new_feature
IBM/lale,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/IBMlale_analysis/0c3ca4f278b23da1b17836b1c362e54c77b858f5/input/modified/lale/datasets/sklearn_to_pandas.py,columns_and_datatype_not_explicitly_set,1,77,7397b4c0797616d3b8adb800169772ff13357412,"Added covtype dataset, added FunctionTransformer operator, improved information tracking. (#243)",2020-03-23 21:08:11+00:00,MODIFY,2019-08-06T14:39:27Z,289.0,570.0,66903f3a28a6099ef8e6d9ece4212cc432ec76cc,2021-10-12T09:49:04Z,lale/datasets/sklearn_to_pandas.py,1.0,0.0,1.0,1.0,new_feature
IBM/lale,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/IBMlale_analysis/6a309abe3cefdf6b972193a39083d972f3f51d68/input/modified/lale/datasets/util.py,columns_and_datatype_not_explicitly_set,1,46,50701b2292153aa0a1c1cbcbc99220b2c284fbda,Support for multiple indexes in SparkDataFrameWithIndex (#1020),2022-03-02 03:58:26+00:00,MODIFY,2019-08-06T14:39:27Z,1116.0,1116.0,66903f3a28a6099ef8e6d9ece4212cc432ec76cc,2021-10-12T09:49:04Z,lale/datasets/util.py,0.0,0.0,1.0,0.0,enhancement
IBM/lale,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/IBMlale_analysis/c39b2f8caf61f9d121a098412b412a94451feb7c/input/modified/lale/operators.py,in_place_apis_misused,1,4453,5d2336cfbee0d65cbb5c76dcfba02822e4a4783e,"Changes to make `Batching` work with task graphs. (#1049)

* Changes to make `Batching` work with task graphs.

* Trying a complex regressor to create a larger search space for grid search.

* More changes to make the existing Batching test cases pass.

* Added propagation of scoring and progress_callback.

* Changed the notebook kernel.

* Modifying `test_runtime_limit_hor` one more time.

* black formatting.

* Trying to increase max_opt_time for `test_runtime_limit_hor`.

* black formatting.",2022-03-28 18:46:08+00:00,MODIFY,2019-08-06T14:39:27Z,1145.0,1145.0,66903f3a28a6099ef8e6d9ece4212cc432ec76cc,2021-10-12T09:49:04Z,lale/operators.py,1.0,0.0,1.0,1.0,enhancement
